	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-337.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-338.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-339.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-339.1	0	0	14	0	0	0	0	0	0	6	1
Cluster-340.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-341.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-342.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-343.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-344.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-345.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-346.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-347.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-348.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-349.0	0	0	0	0	0	0	0	0	0	0	64
Cluster-350.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-351.0	0	0	0	0	0	0	0	0	0	0	22
Cluster-352.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-353.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-354.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-355.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-356.0	0	0	0	0	0	0	0	0	0	0	29
Cluster-357.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-358.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-359.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-360.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-361.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-362.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-363.0	0	0	0	0	0	0	0	0	0	0	52
Cluster-363.1	0	0	0	0	0	0	0	0	0	0	17
Cluster-364.0	0	0	0	0	0	0	0	0	0	0	176
Cluster-365.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-366.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-367.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-368.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-369.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-370.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-371.0	0	0	0	0	0	0	0	0	0	0	27
Cluster-372.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-373.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-374.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-375.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-376.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-377.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-378.0	0	0	0	0	0	0	0	0	0	45	8
Cluster-379.0	0	0	0	0	0	0	0	0	0	20	0
Cluster-380.0	0	0	0	0	0	0	0	0	0	10	0
Cluster-381.0	0	0	0	0	0	0	0	0	0	14	0
Cluster-382.0	0	0	0	0	0	0	0	0	0	4	375
Cluster-383.0	0	0	0	0	0	0	0	0	0	13	28
Cluster-383.1	0	0	0	0	0	0	0	0	0	3	20
Cluster-384.0	0	0	0	0	0	0	0	0	0	1	98
Cluster-385.0	0	0	0	0	0	0	0	0	0	7	4
Cluster-386.0	0	0	0	0	0	0	0	0	0	4	18
Cluster-386.1	0	0	0	0	0	0	0	0	0	0	8
Cluster-387.0	0	0	0	0	0	0	0	0	0	39	169
Cluster-388.0	0	0	0	0	0	0	0	0	0	3	11
Cluster-389.0	0	0	0	0	0	0	0	0	0	1	10
Cluster-390.0	0	0	0	0	0	0	0	0	0	60	0
Cluster-391.0	0	0	0	0	0	0	0	0	0	2	10
